1	80
3	240
21	448
23	42
22	293
25	144
27	144
26	144
29	144
28	144
31	144
32	144
43	34
51	224
59	240
58	24
57	0
56	286
63	80
60	232
68	200
75	128
85	0
84	0
86	224
83	0
93	240
92	240
95	240
94	240
89	240
90	240
102	240
103	128
100	8
108	8
109	8
107	8
114	224
136	349
131	293
133	120
135	363
134	363
152	256
153	269
154	240
155	389
156	389
170	128
169	56
168	5
175	18
174	29
172	128
162	120
160	232
167	144
166	144
165	240
186	14
187	60
184	12
185	8
188	143
189	306
178	12
179	12
176	12
177	12
182	12
180	12
181	12
205	234
204	160
207	216
206	227
201	173
200	173
203	160
202	160
197	229
196	227
198	257
194	137
218	353
212	512
208	160
209	240
210	239
239	128
238	240
237	240
236	240
235	240
234	240
233	137
232	137
231	137
230	120
227	24
254	244
255	85
252	178
253	244
248	240
249	87
246	35
247	240
245	80
242	240
243	240
240	240
275	236
274	236
273	36
272	232
279	353
278	512
277	367
276	367
283	240
281	240
280	128
287	36
284	240
258	240
256	242
257	240
262	240
263	240
260	270
261	240
266	236
267	367
264	597
265	236
270	24
271	60
268	367
269	7
304	64
307	188
306	128
309	63
313	78
312	115
315	8
314	12
316	14
319	12
289	0
290	0
291	32
292	32
295	232
296	118
297	200
298	192
299	128
300	227
301	66
303	256
343	12
342	8
341	12
340	14
339	8
338	12
337	14
336	8
351	144
350	144
348	128
347	240
346	240
345	14
344	8
326	14
327	24
324	12
325	8
322	12
323	8
320	8
321	14
334	14
335	12
332	12
333	8
330	8
331	14
329	12
373	216
375	128
374	212
369	240
368	224
381	243
380	168
383	84
382	99
376	128
379	164
378	164
356	80
357	80
358	160
359	100
352	176
354	80
355	160
364	96
365	42
366	80
367	96
360	100
361	100
362	96
363	119
410	96
411	156
408	264
409	182
414	158
415	166
413	96
402	231
400	128
401	152
406	292
407	264
404	142
405	132
395	111
394	152
393	168
392	91
396	111
387	168
386	312
385	99
391	192
390	245
389	254
388	254
440	185
441	49
442	58
444	87
445	53
446	13
447	13
432	351
433	131
434	138
435	138
436	54
437	65
438	96
439	56
425	179
424	179
427	237
426	240
429	228
428	237
431	110
430	139
417	93
416	394
419	93
418	93
421	93
420	93
423	21
422	21
478	53
479	87
476	16
477	70
474	43
475	15
472	87
473	43
471	87
468	289
469	719
466	720
467	720
464	720
465	720
463	53
462	87
461	187
460	155
459	106
458	60
457	37
456	24
455	135
454	89
453	135
452	89
450	84
449	616
508	87
509	43
510	43
511	121
504	5
505	5
506	5
507	87
500	5
501	5
502	14
503	5
498	5
499	5
492	94
495	582
494	362
489	12
488	16
491	14
490	8
485	43
484	87
487	15
486	43
481	43
480	87
483	87
482	43
550	43
551	43
548	87
549	87
546	319
